Date_Time,KWperTon,Teo,Tei,Fevap,Tci,Tco,Fcond,Pei,Peo,Pco,Pci,A_kW,B_kW
41457.40625,0.51,39,54.8,3508,77.1,,7500,103.2,100.2,12.4,17.1,235,236
41457.41667,0.52,38.9,54.8,3485,77.2,,7523,103.1,99.8,12.5,17.2,235,236
41457.42708,0.52,38.9,54.7,3497,77.1,,7608,102.6,99.5,12.2,16.7,235,236
41457.4375,0.53,39,54.9,3495,77.2,,7559,103,99.6,12.7,17.4,235,236
41457.44792,0.52,38.9,55,3485,77,,7608,103.1,99.5,12.8,17.3,235,236
41457.45833,0.51,38.9,54.9,3557,76.8,,7512,102.5,99.3,12.4,17.1,235,236
41457.46875,0.51,38.9,54.8,3516,76.6,,7430,102.7,99.3,12.4,17.4,235,236
41457.47917,0.51,39,54.8,3538,76.3,,7309,102.5,99.3,12.4,16.8,235,236
41457.48958,0.51,38.9,54.7,3473,76.2,,7438,102.8,99.7,12.3,16.7,235,236
41457.5,0.5,38.9,54.7,3501,76.3,,7332,102.9,100.2,12.3,16.9,235,236
41457.51042,0.51,39,54.7,3365,76.3,,7132,102.6,99.6,12.3,16.6,235,236
41457.52083,0.51,38.9,54.6,3419,76.4,,7572,102.6,100,12.3,16.8,235,236
41457.53125,0.51,38.9,54.7,3377,76.6,,7301,102.7,99.7,12.2,16.6,235,236
41457.54167,0.51,39,54.6,3380,76.7,,7325,102.2,99.4,12.3,16.7,235,236
41457.55208,0.5,39,54.7,3486,76.9,,7398,102.3,99.3,12.3,17.3,235,236
41457.5625,0.53,39,54.6,3351,77.2,,7414,102.1,99.1,12.5,16.9,235,236
41457.57292,0.5,38.9,54.6,3558,77.1,,7455,102.1,99.2,12.6,17.4,235,236
41457.58333,0.52,38.9,54.6,3422,77.1,,7577,101.6,99.2,12.5,17.3,235,236
41457.59375,0.53,39,54.6,3395,77.2,,7415,101.5,98.6,12.6,16.8,235,236
41457.60417,0.52,39.1,54.7,3515,77.2,,7505,101.8,98.8,12.4,17.6,235,236
41457.61458,0.51,39,54.8,3591,77.2,,7436,101.8,98.5,12.2,16.8,235,236
41457.625,0.53,39,54.7,3546,77.3,,7571,101.8,98.7,12.6,17.4,235,236
41457.63542,0.51,39,54.9,3655,77.2,,7649,101.5,98,12.6,17.5,235,236
41457.64583,0.51,38.9,54.9,3591,77.2,,7599,102,98.7,12.4,17.5,235,236
41457.65625,0.51,39,54.9,3644,77,,7449,102.1,98.5,12.5,17.1,235,236
41457.66667,0.53,38.9,54.9,3501,77,,7543,102.6,99.5,12.8,17.7,235,236
41457.67708,0.51,38.9,54.9,3603,77,,7376,103.2,100,12.4,17.1,235,236
41457.6875,0.52,38.8,55,3501,76.9,,7451,103.5,100.2,12.4,17.1,235,236
41457.69792,0.51,38.8,55,3541,76.7,,7352,102.9,100,12.3,17.3,235,236
41457.70833,0.51,38.9,54.8,3426,76.4,,7280,102.6,99.7,12.3,16.6,235,236
41457.71875,0.51,39,54.8,3482,76.4,,7484,103.2,100,12.4,16.7,235,236
41457.72917,0.52,38.9,54.8,3350,76.7,,7505,103.4,100.6,12.4,16.7,235,236
41457.73958,0.5,38.9,54.9,3476,76.8,,7381,103.5,100.3,12.4,17.1,235,236
41457.75,0.51,39,54.9,3472,76.8,,7376,103.2,100,12.4,16.7,235,236
41457.76042,0.51,39,54.8,3399,76.8,,7399,102.7,99.9,12.5,17,235,236
41457.77083,0.51,38.8,54.8,3359,76.8,,7488,103.5,100.8,12.5,17.1,235,236
41457.78125,0.52,39,54.8,3321,76.8,,7478,103.4,100.6,12.5,17.2,235,236
41457.79167,0.52,38.9,54.8,3346,76.9,,7376,103.5,101,12.5,17.1,235,236
41457.80208,0.52,38.8,54.8,3277,76.8,,7425,104,101,12.2,16.8,235,236
41457.8125,0.51,38.9,54.8,3272,76.8,,7505,103.9,101.1,12.5,16.8,235,236
41457.82292,0.5,38.9,54.8,3313,76.7,,7325,104.3,101.6,12.2,16.6,235,236
41457.83333,0.52,38.9,54.8,3215,76.6,,7418,103.8,101,12.6,16.6,235,236
41457.84375,0.5,39,54.7,3270,76.5,,7377,104.3,101.5,12.4,16.9,235,236
41457.85417,0.5,38.9,54.7,3288,76.6,,7256,103.7,100.8,12.2,16.7,235,236
41457.86458,0.51,38.8,54.7,3155,76.6,,7316,104.3,101.6,12.2,17,235,236
41457.875,0.5,38.9,54.8,3203,76.7,,7274,104.3,101.9,12.3,16.3,235,236
41457.88542,0.52,38.8,54.8,3074,76.8,,7249,104.2,101.4,12.4,16.8,235,236
41457.89583,0.51,38.9,54.9,3119,76.8,,7369,103.9,101.4,12.3,16.5,235,236
41457.90625,0.51,38.9,54.9,3159,76.8,,7160,103.9,101.4,12.4,16.5,235,236
41457.91667,0.52,38.9,54.9,3110,76.9,,7442,103.9,101.2,12.4,16.9,235,236
41457.92708,0.51,38.9,54.9,3147,76.8,,7365,103.7,101.2,12.5,17,235,236
41457.9375,0.5,38.9,54.9,3197,76.8,,7504,103.5,101.1,12.3,16.9,235,236
41457.94792,0.52,38.9,54.9,3009,76.8,,7278,104.1,101.4,12.2,16.7,235,236
41457.95833,0.5,39,55,3175,76.8,,7132,103.7,101.3,12.2,16.6,235,236
41457.96875,0.51,38.8,54.8,3096,76.9,,7460,103.8,101.5,12.3,17,235,236
41457.97917,0.51,38.9,54.7,3009,76.9,,7324,103.3,100.8,12.4,16.7,235,236
41457.98958,0.49,38.9,54.9,3114,76.8,,7349,102.5,100,12.4,16.8,235,236
41458,0.52,38.8,54.8,2944,76.8,,7259,102.8,100.6,12.3,16.6,235,236
41458.01042,0.52,39,54.8,2993,77,,7241,101.6,99.3,12.3,16.8,235,236
41458.02083,0.5,38.9,54.9,3110,77,,7310,101.2,98.8,12.3,16.8,235,236
41458.03125,0.52,38.9,55,3058,77.2,,7397,102.9,100.4,12.4,16.5,235,236
41458.04167,0.51,39,55,3170,77.1,,7385,102.5,99.9,12.4,16.8,235,236
41458.05208,0.51,38.9,55,3140,77.1,,7466,103.3,100.9,12.5,16.8,235,236
41458.0625,0.51,39,55,3114,77.1,,7467,103.3,100.6,12.5,16.9,235,236
41458.07292,0.51,39,55,3161,77.1,,7434,103.4,100.8,12.5,17,235,236
41458.08333,0.5,39,55,3254,77.1,,7297,102.9,100.3,12.5,16.9,235,236
41458.09375,0.51,38.8,54.9,3115,77.1,,7385,103.7,101.2,12.4,16.7,235,236
41458.10417,0.51,39,54.9,3144,77.1,,7426,103.4,100.8,12.6,16.9,235,236
41458.11458,0.52,39,55,3095,77,,7520,103.3,100.9,12.5,16.9,235,236
41458.125,0.52,39,55.1,3099,76.9,,7380,103.7,101.3,12.5,17,235,236
41458.13542,0.51,39,55,3168,76.9,,7406,103.2,100.5,12.3,17.1,235,236
41458.14583,0.5,38.9,55.1,3205,77,,7310,103.3,100.7,12.4,17.1,235,236
41458.15625,0.52,39,55,3170,76.9,,7509,103.1,100.5,12.4,17.1,235,236
41458.16667,0.51,38.9,55,3246,77,,7505,102.7,100,12.6,17.2,235,236
41458.17708,0.52,39,55.1,3232,77,,7380,103.5,100.6,12.1,16.5,235,236
41458.1875,0.51,38.9,55.1,3260,77,,7546,102.7,100.2,12.4,17.1,235,236
